Date: 2020-06-07 19:18:57s, Time_Cost: 130s, Epoch: [31/100], Train_PSNR: 27.38, Val_PSNR: 22.50, Val_SSIM: 0.7798
Date: 2020-06-07 19:21:07s, Time_Cost: 130s, Epoch: [32/100], Train_PSNR: 27.28, Val_PSNR: 22.49, Val_SSIM: 0.7730
Date: 2020-06-07 19:23:17s, Time_Cost: 130s, Epoch: [33/100], Train_PSNR: 27.57, Val_PSNR: 21.53, Val_SSIM: 0.7734
Date: 2020-06-07 19:25:27s, Time_Cost: 130s, Epoch: [34/100], Train_PSNR: 27.39, Val_PSNR: 22.47, Val_SSIM: 0.7803
Date: 2020-06-07 19:27:36s, Time_Cost: 129s, Epoch: [35/100], Train_PSNR: 27.56, Val_PSNR: 22.26, Val_SSIM: 0.7745
Date: 2020-06-07 19:29:46s, Time_Cost: 130s, Epoch: [36/100], Train_PSNR: 27.57, Val_PSNR: 22.75, Val_SSIM: 0.7849
Date: 2020-06-07 19:31:56s, Time_Cost: 130s, Epoch: [37/100], Train_PSNR: 27.48, Val_PSNR: 21.80, Val_SSIM: 0.7837
Date: 2020-06-07 19:34:04s, Time_Cost: 129s, Epoch: [38/100], Train_PSNR: 27.62, Val_PSNR: 21.72, Val_SSIM: 0.7656
Date: 2020-06-07 19:36:14s, Time_Cost: 130s, Epoch: [39/100], Train_PSNR: 27.67, Val_PSNR: 22.06, Val_SSIM: 0.7812
Date: 2020-06-07 19:38:24s, Time_Cost: 129s, Epoch: [40/100], Train_PSNR: 27.51, Val_PSNR: 22.28, Val_SSIM: 0.7708
Date: 2020-06-07 19:40:34s, Time_Cost: 130s, Epoch: [41/100], Train_PSNR: 27.77, Val_PSNR: 22.59, Val_SSIM: 0.7792
Date: 2020-06-07 19:42:44s, Time_Cost: 130s, Epoch: [42/100], Train_PSNR: 27.77, Val_PSNR: 20.78, Val_SSIM: 0.7544
Date: 2020-06-07 19:44:54s, Time_Cost: 131s, Epoch: [43/100], Train_PSNR: 27.79, Val_PSNR: 22.63, Val_SSIM: 0.7883
Date: 2020-06-07 19:47:04s, Time_Cost: 130s, Epoch: [44/100], Train_PSNR: 27.75, Val_PSNR: 20.52, Val_SSIM: 0.7600
Date: 2020-06-07 19:49:13s, Time_Cost: 130s, Epoch: [45/100], Train_PSNR: 27.98, Val_PSNR: 21.98, Val_SSIM: 0.7597
Date: 2020-06-07 19:51:23s, Time_Cost: 130s, Epoch: [46/100], Train_PSNR: 27.89, Val_PSNR: 22.51, Val_SSIM: 0.7801
Date: 2020-06-07 19:53:34s, Time_Cost: 130s, Epoch: [47/100], Train_PSNR: 27.91, Val_PSNR: 22.00, Val_SSIM: 0.7746
Date: 2020-06-07 19:55:43s, Time_Cost: 130s, Epoch: [48/100], Train_PSNR: 27.93, Val_PSNR: 22.75, Val_SSIM: 0.7858
Date: 2020-06-07 19:57:53s, Time_Cost: 129s, Epoch: [49/100], Train_PSNR: 27.93, Val_PSNR: 22.61, Val_SSIM: 0.7751
Date: 2020-06-07 20:00:03s, Time_Cost: 130s, Epoch: [50/100], Train_PSNR: 28.00, Val_PSNR: 22.78, Val_SSIM: 0.7824
Date: 2020-06-07 20:02:13s, Time_Cost: 130s, Epoch: [51/100], Train_PSNR: 28.06, Val_PSNR: 22.09, Val_SSIM: 0.7789
Date: 2020-06-07 20:04:23s, Time_Cost: 130s, Epoch: [52/100], Train_PSNR: 27.89, Val_PSNR: 21.35, Val_SSIM: 0.7731
Date: 2020-06-07 20:06:33s, Time_Cost: 130s, Epoch: [53/100], Train_PSNR: 28.17, Val_PSNR: 21.88, Val_SSIM: 0.7598
Date: 2020-06-07 20:08:44s, Time_Cost: 131s, Epoch: [54/100], Train_PSNR: 28.24, Val_PSNR: 22.20, Val_SSIM: 0.7809
Date: 2020-06-07 20:12:12s, Time_Cost: 131s, Epoch: [1/100], Train_PSNR: 23.19, Val_PSNR: 15.40, Val_SSIM: 0.6812
Date: 2020-06-07 20:14:22s, Time_Cost: 130s, Epoch: [2/100], Train_PSNR: 26.18, Val_PSNR: 21.55, Val_SSIM: 0.7680
Date: 2020-06-07 20:17:51s, Time_Cost: 130s, Epoch: [1/100], Train_PSNR: 26.95, Val_PSNR: 15.30, Val_SSIM: 0.6883
Date: 2020-06-07 20:20:00s, Time_Cost: 129s, Epoch: [2/100], Train_PSNR: 27.26, Val_PSNR: 20.72, Val_SSIM: 0.7636
Date: 2020-06-07 20:22:09s, Time_Cost: 129s, Epoch: [3/100], Train_PSNR: 27.44, Val_PSNR: 21.96, Val_SSIM: 0.7758
Date: 2020-06-07 20:24:18s, Time_Cost: 129s, Epoch: [4/100], Train_PSNR: 27.50, Val_PSNR: 22.83, Val_SSIM: 0.7811
Date: 2020-06-07 20:26:27s, Time_Cost: 129s, Epoch: [5/100], Train_PSNR: 27.76, Val_PSNR: 22.63, Val_SSIM: 0.7843
Date: 2020-06-07 20:28:36s, Time_Cost: 129s, Epoch: [6/100], Train_PSNR: 27.78, Val_PSNR: 22.10, Val_SSIM: 0.7736
Date: 2020-06-07 20:30:45s, Time_Cost: 129s, Epoch: [7/100], Train_PSNR: 27.83, Val_PSNR: 18.33, Val_SSIM: 0.7319
Date: 2020-06-07 20:32:54s, Time_Cost: 129s, Epoch: [8/100], Train_PSNR: 27.86, Val_PSNR: 22.77, Val_SSIM: 0.7810
Date: 2020-06-07 20:36:25s, Time_Cost: 130s, Epoch: [1/100], Train_PSNR: 26.95, Val_PSNR: 13.86, Val_SSIM: 0.6507
Date: 2020-06-07 20:40:18s, Time_Cost: 130s, Epoch: [1/100], Train_PSNR: 19.50, Val_PSNR: 19.42, Val_SSIM: 0.7093
Date: 2020-06-07 20:42:28s, Time_Cost: 130s, Epoch: [2/100], Train_PSNR: 22.37, Val_PSNR: 21.56, Val_SSIM: 0.7402
Date: 2020-06-07 20:44:37s, Time_Cost: 130s, Epoch: [3/100], Train_PSNR: 23.67, Val_PSNR: 21.87, Val_SSIM: 0.7500
